user_id,timestamp,original_text,clean_text,top_label,threat_score,safe_score,tier,status,emotion,entities,note
user_2998,2026-05-22 18:52:00,why do they give us phones with all kinds of cool streaming capabilities and speeds if they're just gonna kill our data? I don't get it,why do they give us phones with all kinds of cool streaming capabilities and speeds if they're just gonna kill our data? i don't get it,suspicious activity,0.9474,0.0526,CRITICAL,FLAGGED,surprise (0.71),none detected,Verified: Contains high-risk forensic keywords.
user_2687,2026-05-22 18:52:00,I HATE Hermione's first scene. What 11 year old talks like that??,i hate hermione's first scene. what 11 year old talks like that??,suspicious activity,0.8904,0.1096,HIGH,FLAGGED,surprise (0.67),"Her (PER), ##mio (PER), ##ne (PER)"," | Entities: Her (PER), ##mio (PER), ##ne (PER)"
user_0212,2026-05-22 18:52:00,Comparison speed test: Speakeasy.net (2nd Google speed test search result) saying 32.58mbps down/6.76mbps up,comparison speed test speakeasy.net 2nd google speed test search result saying 32.58mbps down6.76mbps up,suspicious activity,0.8841,0.1159,HIGH,FLAGGED,surprise (0.55),"Speakeasy (ORG), net (ORG)"," | Entities: Speakeasy (ORG), net (ORG)"
user_0812,2026-05-22 18:52:00,Walking to work in SF. Holy deja vu. Did the hills get steeper?,walking to work in sf. holy deja vu. did the hills get steeper?,suspicious activity,0.8833,0.1167,HIGH,FLAGGED,surprise (0.80),SF (ORG), | Entities: SF (ORG)
user_3886,2026-05-22 18:52:00,"on the other hand, now I have Ideas for how to improve the Sursum Corda map &amp; make it less bewildering","on the other hand, now i have ideas for how to improve the sursum corda map make it less bewildering",suspicious activity,0.8823,0.1177,HIGH,FLAGGED,surprise (0.92),Sursum Corda (LOC), | Entities: Sursum Corda (LOC)
user_0299,2026-05-22 18:52:00,"I think @anonymous is a worthless little shit. If that offends him...  Well, fuck him, that worthless little shit. #RedEye","i think anonymous is a worthless little shit. if that offends him... well, fuck him, that worthless little shit. redeye",suspicious activity,0.8776,0.1224,HIGH,FLAGGED,anger (0.97),RedE (ORG), | Entities: RedE (ORG)
user_0595,2026-05-22 18:52:00,I really hate being at the bus stop with all the moms.,i really hate being at the bus stop with all the moms.,suspicious activity,0.8683,0.1317,HIGH,FLAGGED,sadness (0.67),none detected,
user_2777,2026-05-22 18:52:00,"So on the one hand the Lakers lost, but on the other the Spurs won. I'm not sure how to feel.","so on the one hand the lakers lost, but on the other the spurs won. i'm not sure how to feel.",suspicious activity,0.8512,0.1488,HIGH,FLAGGED,sadness (0.67),"Lakers (ORG), Spurs (ORG)"," | Entities: Lakers (ORG), Spurs (ORG)"
user_0539,2026-05-22 18:52:00,A string of impossibly euphoric days followed by a not so happy day. Well what can you expect really. #comeuppance,a string of impossibly euphoric days followed by a not so happy day. well what can you expect really. comeuppance,suspicious activity,0.8448,0.1552,HIGH,FLAGGED,joy (0.92),none detected,
user_2400,2026-05-22 18:52:00,Got 23/35 playing Name the Nicktoons Show! (images). Try to top that: http://url_removed #sporcle,got 2335 playing name the nicktoons show! images. try to top that sporcle,suspicious activity,0.8362,0.1638,HIGH,FLAGGED,neutral (0.51),none detected,
user_2625,2026-05-22 18:52:00,"Gonna go shooting tomorrow, then new merch designs, web design work, then episode 21 of the Inspired Disorder Podcast.","gonna go shooting tomorrow, then new merch designs, web design work, then episode 21 of the inspired disorder podcast.",suspicious activity,0.8355,0.1645,HIGH,FLAGGED,neutral (0.57),none detected,
user_1784,2026-05-22 18:52:00,"@anonymous yes vodafone and on android! Did you send ""ACT 3G"" to 111 / 116 ?",anonymous yes vodafone and on android! did you send act 3g to 111 116 ?,suspicious activity,0.8349,0.1651,HIGH,FLAGGED,neutral (0.53),none detected,
user_3022,2026-05-22 18:52:00,"@anonymous I bet this would go over very, very well in Austin.. @anonymous @anonymous At a bare minimum, you'd sell two tickets to me!","anonymous i bet this would go over very, very well in austin.. anonymous anonymous at a bare minimum, you'd sell two tickets to me!",suspicious activity,0.8299,0.1701,HIGH,FLAGGED,neutral (0.47),Austin (LOC), | Entities: Austin (LOC)
user_2212,2026-05-22 18:52:00,@anonymous We crashed hard under T-Day traffic. Fingers crossed you do better! :),anonymous we crashed hard under t-day traffic. fingers crossed you do better!,suspicious activity,0.8222,0.1778,HIGH,FLAGGED,sadness (0.45),none detected,
user_1089,2026-05-22 18:52:00,Audioboo: Council leader Chris Roberts on the effects of yesterday's strike in Greenwich #n30 http://url_removed,audioboo council leader chris roberts on the effects of yesterday's strike in greenwich n30,suspicious activity,0.8052,0.1948,HIGH,FLAGGED,anger (0.80),"Council (ORG), Chris Roberts (PER), Greenwich (LOC)"," | Entities: Council (ORG), Chris Roberts (PER), Greenwich (LOC)"
user_3747,2026-05-22 18:52:00,My man @anonymous is ready to GO OFF if Broncos D holds here,my man anonymous is ready to go off if broncos d holds here,suspicious activity,0.9984,0.0016,MEDIUM,FLAGGED,neutral (0.63),Broncos (ORG),AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM. | Entities: Broncos (ORG)
user_1045,2026-05-22 18:52:00,"#haterstotheleft im a wishful thinker with the worst intentions, this will be the last chance you get to drop my name","haterstotheleft im a wishful thinker with the worst intentions, this will be the last chance you get to drop my name",suspicious activity,0.9955,0.0045,MEDIUM,FLAGGED,sadness (0.56),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0097,2026-05-22 18:52:00,"Bad bus! Smelly bus! Bad, bad bus. No biscuit!","bad bus! smelly bus! bad, bad bus. no biscuit!",suspicious activity,0.9932,0.0068,MEDIUM,FLAGGED,sadness (0.61),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0189,2026-05-22 18:52:00,Mentioned Possum Kingdom.  Now I'm hearing The Toadies in my head.,mentioned possum kingdom. now i'm hearing the toadies in my head.,suspicious activity,0.9912,0.0088,MEDIUM,FLAGGED,surprise (0.56),Kingdom (LOC),AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM. | Entities: Kingdom (LOC)
user_2461,2026-05-22 18:52:00,Just got a Skype call from 'NOTIFICATION' - no idea what it was so declined. Sounds a bit dodgy. Anyone had the same?,just got a skype call from 'notification' - no idea what it was so declined. sounds a bit dodgy. anyone had the same?,suspicious activity,0.9852,0.0148,MEDIUM,FLAGGED,sadness (0.39),Skype (ORG),AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM. | Entities: Skype (ORG)
user_1510,2026-05-22 18:52:00,@anonymous IMO not a good sign going forward.,anonymous imo not a good sign going forward.,suspicious activity,0.9739,0.0261,MEDIUM,FLAGGED,sadness (0.85),IMO (ORG),AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM. | Entities: IMO (ORG)
user_0752,2026-05-22 18:52:00,"Ugh, it's damn annoying when an RSS feed has its URL changed, and no heads-up was given. I guess we should dump RSS / Atom feeds now?","ugh, it's damn annoying when an rss feed has its url changed, and no heads-up was given. i guess we should dump rss atom feeds now?",suspicious activity,0.9736,0.0264,MEDIUM,FLAGGED,disgust (0.32),At (ORG),AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM. | Entities: At (ORG)
user_1692,2026-05-22 18:52:00,"Is Sarah Palin constantly drunk? If not, is she that dense or that evil?  kids cartoons have more accurate accounts of Paul Revere's ride.","is sarah palin constantly drunk? if not, is she that dense or that evil? kids cartoons have more accurate accounts of paul revere's ride.",suspicious activity,0.9735,0.0265,MEDIUM,FLAGGED,neutral (0.47),"Sarah Palin (PER), Paul Revere (PER)","AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM. | Entities: Sarah Palin (PER), Paul Revere (PER)"
user_3787,2026-05-22 18:52:00,#nowplaying - little kids screaming outside my apt since 10am #wheresmybbgun #controlyourchildren,nowplaying - little kids screaming outside my apt since 10am wheresmybbgun controlyourchildren,suspicious activity,0.9732,0.0268,MEDIUM,FLAGGED,surprise (0.38),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_1478,2026-05-22 18:52:00,Cigar smell is absolutely DISGUSTING!! GROSS GROSS GROSS!!,cigar smell is absolutely disgusting!! gross gross gross!!,suspicious activity,0.9704,0.0296,MEDIUM,FLAGGED,disgust (0.99),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_0439,2026-05-22 18:52:00,Is it a bad thing the bartender at the bowling alley knows my name?,is it a bad thing the bartender at the bowling alley knows my name?,suspicious activity,0.9699,0.0301,MEDIUM,FLAGGED,disgust (0.77),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_2097,2026-05-22 18:52:00,"I am, apparently, in a really crappy mood","i am, apparently, in a really crappy mood",suspicious activity,0.9674,0.0326,MEDIUM,FLAGGED,sadness (0.98),none detected,AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM.
user_3338,2026-05-22 18:52:00,Bill Dance would be even more interesting if he were horribly racist.,bill dance would be even more interesting if he were horribly racist.,suspicious activity,0.9643,0.0357,MEDIUM,FLAGGED,disgust (0.77),Bill Dance (PER),AI flagged CRITICAL but no violent keywords found; downgraded to MEDIUM. | Entities: Bill Dance (PER)
