user_id,timestamp,original_text,clean_text,top_label,threat_score,safe_score,tier,status,note
user_0189,2026-05-20 14:40:39,Mentioned Possum Kingdom.  Now I'm hearing The Toadies in my head.,mentioned possum kingdom. now i'm hearing the toadies in my head.,suspicious activity,0.9912,0.0088,CRITICAL,FLAGGED,Verified: Contains high-risk forensic keywords.
user_3787,2026-05-20 14:40:39,#nowplaying - little kids screaming outside my apt since 10am #wheresmybbgun #controlyourchildren,nowplaying - little kids screaming outside my apt since 10am wheresmybbgun controlyourchildren,suspicious activity,0.9732,0.0268,CRITICAL,FLAGGED,Verified: Contains high-risk forensic keywords.
user_2998,2026-05-20 14:40:39,why do they give us phones with all kinds of cool streaming capabilities and speeds if they're just gonna kill our data? I don't get it,why do they give us phones with all kinds of cool streaming capabilities and speeds if they're just gonna kill our data? i don't get it,suspicious activity,0.9474,0.0526,CRITICAL,FLAGGED,Verified: Contains high-risk forensic keywords.
user_2687,2026-05-20 14:40:39,I HATE Hermione's first scene. What 11 year old talks like that??,i hate hermione's first scene. what 11 year old talks like that??,suspicious activity,0.8904,0.1096,HIGH,FLAGGED,
user_0212,2026-05-20 14:40:39,Comparison speed test: Speakeasy.net (2nd Google speed test search result) saying 32.58mbps down/6.76mbps up,comparison speed test speakeasy.net 2nd google speed test search result saying 32.58mbps down6.76mbps up,suspicious activity,0.8841,0.1159,HIGH,FLAGGED,
user_0812,2026-05-20 14:40:39,Walking to work in SF. Holy deja vu. Did the hills get steeper?,walking to work in sf. holy deja vu. did the hills get steeper?,suspicious activity,0.8833,0.1167,HIGH,FLAGGED,
user_3886,2026-05-20 14:40:39,"on the other hand, now I have Ideas for how to improve the Sursum Corda map &amp; make it less bewildering","on the other hand, now i have ideas for how to improve the sursum corda map make it less bewildering",suspicious activity,0.8823,0.1177,HIGH,FLAGGED,
user_0299,2026-05-20 14:40:39,"I think @anonymous is a worthless little shit. If that offends him...  Well, fuck him, that worthless little shit. #RedEye","i think anonymous is a worthless little shit. if that offends him... well, fuck him, that worthless little shit. redeye",suspicious activity,0.8776,0.1224,HIGH,FLAGGED,
user_0595,2026-05-20 14:40:39,I really hate being at the bus stop with all the moms.,i really hate being at the bus stop with all the moms.,suspicious activity,0.8683,0.1317,HIGH,FLAGGED,
user_2777,2026-05-20 14:40:39,"So on the one hand the Lakers lost, but on the other the Spurs won. I'm not sure how to feel.","so on the one hand the lakers lost, but on the other the spurs won. i'm not sure how to feel.",suspicious activity,0.8512,0.1488,HIGH,FLAGGED,
user_0539,2026-05-20 14:40:39,A string of impossibly euphoric days followed by a not so happy day. Well what can you expect really. #comeuppance,a string of impossibly euphoric days followed by a not so happy day. well what can you expect really. comeuppance,suspicious activity,0.8448,0.1552,HIGH,FLAGGED,
